instancia,n,m,seed,costo,bks,gap_pct,tiempo_s
E-n76-k10,75,10,6,1068.0,830.0,28.674698795180724,0.221020299999509
E-n76-k10,75,10,7,998.0,830.0,20.240963855421686,0.20780639999429695
E-n76-k10,75,10,8,981.0,830.0,18.192771084337352,0.21164860000135377
E-n76-k10,75,10,9,1061.0,830.0,27.831325301204817,0.21150530001614243
E-n76-k10,75,10,10,1073.0,830.0,29.277108433734938,0.2300824000267312
E-n76-k10,75,10,11,999.0,830.0,20.36144578313253,0.20877339999424294
E-n76-k10,75,10,12,992.0,830.0,19.518072289156628,0.20934999999008141
E-n76-k10,75,10,13,1016.0,830.0,22.40963855421687,0.21254909998970106
E-n76-k10,75,10,14,999.0,830.0,20.36144578313253,0.21235780001734383
E-n76-k10,75,10,15,1003.0,830.0,20.843373493975903,0.21365070002502762
E-n76-k10,75,10,16,956.0,830.0,15.180722891566264,0.2125952999922447
E-n76-k10,75,10,17,956.0,830.0,15.180722891566264,0.2077207999827806
E-n76-k10,75,10,18,1050.0,830.0,26.506024096385545,0.2117580999911297
E-n76-k10,75,10,19,1095.0,830.0,31.92771084337349,0.209720799990464
E-n76-k10,75,10,20,1002.0,830.0,20.722891566265062,0.20749390000128187
E-n76-k10,75,10,21,1018.0,830.0,22.650602409638555,0.2056301000120584
E-n76-k10,75,10,22,1061.0,830.0,27.831325301204817,0.21105610000086017
E-n76-k10,75,10,23,1007.0,830.0,21.325301204819276,0.21015040000202134
E-n76-k10,75,10,24,1015.0,830.0,22.289156626506024,0.2084358999854885
E-n76-k10,75,10,25,984.0,830.0,18.55421686746988,0.21253089999663644
E-n76-k10,75,10,26,1012.0,830.0,21.927710843373493,0.21022519998950884
E-n76-k10,75,10,27,995.0,830.0,19.879518072289155,0.20752689999062568
E-n76-k10,75,10,28,1043.0,830.0,25.662650602409638,0.20976820000214502
E-n76-k10,75,10,29,1023.0,830.0,23.25301204819277,0.209249000006821
E-n76-k10,75,10,30,997.0,830.0,20.12048192771084,0.20714630000293255
E-n101-k8,100,8,0,1086.0,815.0,33.25153374233129,0.29923560001770966
E-n101-k8,100,8,1,1175.0,815.0,44.171779141104295,0.2994503999943845
E-n101-k8,100,8,2,954.0,815.0,17.05521472392638,0.29477350000524893
E-n101-k8,100,8,3,1042.0,815.0,27.85276073619632,0.2955356999882497
E-n101-k8,100,8,4,1045.0,815.0,28.22085889570552,0.30292389998794533
E-n101-k8,100,8,5,1056.0,815.0,29.570552147239265,0.29822060000151396
E-n101-k8,100,8,6,1045.0,815.0,28.22085889570552,0.2974067000031937
E-n101-k8,100,8,7,1004.0,815.0,23.190184049079754,0.2970491000160109
E-n101-k8,100,8,8,1042.0,815.0,27.85276073619632,0.3053784999938216
E-n101-k8,100,8,9,1037.0,815.0,27.23926380368098,0.3018244999984745
E-n101-k8,100,8,10,1075.0,815.0,31.901840490797547,0.29802839999319986
E-n101-k8,100,8,11,1042.0,815.0,27.85276073619632,0.298806600010721
E-n101-k8,100,8,12,1007.0,815.0,23.558282208588956,0.3034195000072941
E-n101-k8,100,8,13,1064.0,815.0,30.552147239263803,0.3035521999991033
E-n101-k8,100,8,14,1066.0,815.0,30.79754601226994,0.298958200000925
E-n101-k8,100,8,15,968.0,815.0,18.773006134969325,0.30281200000899844
E-n101-k8,100,8,16,1060.0,815.0,30.061349693251532,0.3014182999904733
E-n101-k8,100,8,17,1061.0,815.0,30.184049079754597,0.30904560000635684
E-n101-k8,100,8,18,1079.0,815.0,32.39263803680982,0.31854069998371415
E-n101-k8,100,8,19,1035.0,815.0,26.993865030674847,0.3075636999856215
E-n101-k8,100,8,20,1014.0,815.0,24.41717791411043,0.2968727999832481
E-n101-k8,100,8,21,960.0,815.0,17.791411042944784,0.3449317999766208
E-n101-k8,100,8,22,1054.0,815.0,29.325153374233125,0.3600029999797698
E-n101-k8,100,8,23,979.0,815.0,20.12269938650307,0.3128642000083346
E-n101-k8,100,8,24,1034.0,815.0,26.87116564417178,0.3082521999895107
E-n101-k8,100,8,25,1043.0,815.0,27.975460122699385,0.29983229999197647
E-n101-k8,100,8,26,1039.0,815.0,27.484662576687118,0.30587219999870285
E-n101-k8,100,8,27,992.0,815.0,21.717791411042946,0.2985117999778595
E-n101-k8,100,8,28,993.0,815.0,21.84049079754601,0.2979735000117216
E-n101-k8,100,8,29,999.0,815.0,22.57668711656442,0.3404549999977462
E-n101-k8,100,8,30,995.0,815.0,22.085889570552148,0.29771169999730773
